Code #,Name,God,Rarity,Tags,Role,Cost,Priority,Simplified Description,Card Description,WIP Status,Implemented,Column 1,Column 2
FND-MP-010,Ocean Rage,Mise [Mill],,"Defensive, Offensive",Point,2,,,90% Defend. Salvage: 100% Attack and Mill 2 instead.,,No,,
FND-MP-011,Tidal Echo,Mise [Mill],,Offensive,Point,1,,,50% Attack. Salvage: Permanently increase the damage of this card by 50%.,,No,,
FND-MP-012,,Mise [Mill],,Offensive,Point,1,,,Draw 2. Salvage: Draw 2.,Needs Work,No,,
FND-MP-013,Choppy Seas Ahead,Mise [Mill],,Offensive,Point,2,,,Next round start: inflict Riptide 3 to all active Faes.,,,,
FND-MP-013,Ocean's Curse,Mise [Mill],,Offensive,Point,2,,,Pitch: Mill 4. Salvage: Inflict 3 Riptide.,,,,
FND-MT-001,Flotsam,Mise [Mill],,Utility,Token,0,,,Draw 1. Salvage: Draw 1. Gain 1 Mana.,,No,,
FND-MT-002,Jetsam,Mise [Mill],,Utility,Token,1,,,Draw 1.,,No,,
FND-MU-001,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-002,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-003,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-004,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-005,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-006,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-007,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-008,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-009,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-010,,Mise [Mill],,,Mise Point 1,,,,,,,,
FND-MU-011,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-012,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-013,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-014,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-015,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-016,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-017,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-018,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-019,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-020,,Mise [Mill],,,Mise Forward 1,,,,,,,,
FND-MU-021,Jetspray,Mise [Mill],Uncommon,,Inkhor,0,1,,Gain (20% DEF) block. Create 3 Jetsam in each active Fae's deck.,V4 Updated,Updated,,
FND-MU-022,Anchor Shot,Mise [Mill],Uncommon,,Inkhor,2,0,,Deal (50% ATK) damage. The opponent Fae Mills 5. Salvage: Deal (120% ATK) damage.,V4 Updated,Updated,,
FND-MU-023,Throw Overboard,Mise [Mill],Uncommon,,Inkhor,2,0,,Deal (30% ATK) damage. Create 8 Jetsam in the opponent Fae's deck.,V4 Updated,Updated,,
FND-MU-024,Mooring,Mise [Mill],Uncommon,,Inkhor,2,1,,Gain (75% DEF) block. Create 2 Flotsam in each active Fae's hand. Salvage: Gain (120% DEF) block.,V4 Updated,Updated,,
FND-MU-025,Inkcloud,Mise [Mill],Uncommon,,Inkhor,3,1,,Gain (125% DEF) block. Create 3 Jetsam in the opponent Fae's hand.,V4 Updated,Updated,,
FND-MU-026,Uncontrolled Discharge,Mise [Mill],Rare,,Inkhor,2,0,,Inflict Riptide 1. Create 6 Flotsam in each active Fae's deck. Draw 1.,V4 Updated,Updated,,
FND-MU-027,Turbulance,Mise [Mill],Rare,,Inkhor,2,0,,Deal (65% ATK) damage. Create 5 Flotsam in the opponent Fae's hand.,V4 Updated,Updated,,
FND-MU-028,Counterweight Bash,Mise [Mill],Rare,,Inkhor,1,0,,Deal (15% Attack) for each card in the opponent Fae's hand.,V4 Updated,Updated,,
FND-MU-029,Abyssal Dive,Mise [Mill],Epic,,Inkhor,3,1,,Gain (70% DEF) block. Create 12 Flotsam in your deck. Salvage: I cost 2 less. Dredge twice.,V4 Updated,Updated,,
FND-MU-030,Dead Reckoning,Mise [Mill],Epic,,Inkhor,6,0,,Mill your entire deck. Heal 50% missing health.,V4 Updated,Updated,,
FND-RB-001,Toll the Bells,Rea [Omens],Epic,Utility,Basic,0,,,Trigger all Omen cards in the graveyard.,Official,Yes,,
FND-RB-002,Panicked Streets,Rea [Omens],Epic,Utility,Basic,5,,,Omen. Both players swap to a random Fae.,Official,Yes,,
FND-RB-003,Raven Sighting,Rea [Omens],Epic,Utility,Basic,3,,,Omen. Put a random Omen card from your deck into the graveyard.,Official,Yes,,
FND-RF-001,Distant Screams,Rea [Omens],Common,Offensive,Forward,2,,,Omen. Deal (1% HP) direct damage.,Official,Updated,,
FND-RF-002,Dripping Death,Rea [Omens],Uncommon,Utility,Forward,2,,,Omen. Inflict Poison 1.,Official,Yes,,
FND-RF-003,Rea's Call,Rea [Omens],Epic,Offensive,Forward,3,,,Omen. Opponent Faes with 5% HP or less are executed.,Official,Updated,,
FND-RF-004,Hunter's Call,Rea [Omens],Uncommon,Offensive,Forward,2,,,Omen. 10% Attack.,Official,Yes,,
FND-RF-005,Relentless Thoughts,Rea [Omens],Epic,Utility,Forward,4,,,Omen. Opposing Fae discards a card.,Official,Updated,,
FND-RG-001,Due Diligence,Rea [Omens],Uncommon,Defensive,Guard,2,,,Omen. 10% Block.,Official,Updated,,
FND-RG-002,Mourning Widow,Rea [Omens],Uncommon,Defensive,Guard,2,,,Omen. Gain Veil (5% HP).,Official,Updated,,
FND-RG-003,Confession,Rea [Omens],Rare,Utility,Guard,3,,,Omen. Gain Regen 1.,Official,Updated,,
FND-RG-004,Blessing in Disguise,Rea [Omens],Rare,Defensive,Guard,2,,,"As an additional cost to play this card, shuffle an Omen card from the graveyard back into it's respective Fae's deck. Gain Veil (30% HP).",Official,Updated,,
FND-RG-005,Severance,Rea [Omens],Epic,Utility,Guard,1,,,"Switch out the opposing fae, they create a gold token.",Official,Updated,,
FND-RP-001,Invest,Rea [Omens],Rare,Utility,Point,2,,,Omen. Shuffle a gold token in your deck.,Official,Updated,,
FND-RP-002,The Hood,Rea [Omens],Rare,Utility,Point,3,,,Omen. Strongarm.,Official,Updated,,
FND-RP-003,Burden of Knowledge,Rea [Omens],Rare,Utility,Point,3,,,Omen. Take (3% HP) damage. Gain Knowledge 1. ,Official,Updated,,
FND-RP-004,Fear of Inaction,Rea [Omens],Epic,Utility,Point,3,,,"Omen. Whenever a Fae becomes Tagged this turn, inflict Poison 5.",Official,Updated,,
FND-RP-005,Fear of Missing Out,Rea [Omens],Epic,Utility,Point,3,,,"Omen. Whenever a Fae becomes Tagged this round, they lose 10% of their max hp.",Official,Updated,,
FND-RP-005,Ignore the Signs,Rea [Omens],Epic,Utility,Point,2,,,Omen. Mill 1.,Official,Updated,,
FND-RU-001,Dodge Roll,Rea [Omens],Uncommon,Defensive,Rev,1,,,"As an additional cost to play this card, shuffle an Omen card from the graveyard back into it's respective Fae's deck. Prevent the next instance of damage taken this turn.",Official,Updated,,
FND-RU-002,Revenant Fury,Rea [Omens],Uncommon,Offensive,Rev,5,,,Omen. (25% per Omen card in graveyard) Attack.,Official,Yes,,
FND-RU-003,Prep Time,Rea [Omens],Uncommon,Utility,Rev,3,,,"If you've taken no damage this turn, gain Knowledge 3 and 3 mp.",Official,Updated,,
FND-RU-004,Skull Bash,Rea [Omens],Uncommon,Offensive,Rev,2,,,"If you've taken no damage this turn, gain 2 mp. 105% Attack.",Official,Updated,,
FND-RU-005,Headshot?,Rea [Omens],Uncommon,Utility,Rev,0,,,"If the opponent fae plays a card with Attack > 100%, nullify it. ",Official,Updated,,
FND-RU-006,Mist Step,Rea [Omens],Rare,Defensive,Rev,1,,,"Lose 25% of your max HP. Swap to another Fae, they 80% Defend. Gain 1 mp.",Official,Updated,,
FND-RU-007,Jumpscare,Rea [Omens],Rare,Offensive,Rev,1,,,"If Tagged and your opponent plays an offensive card this turn, give this card Omen for the rest of the game. 25% Attack. Strongarm.",Official,Updated,,
FND-RU-008,Skull Breath,Rea [Omens],Rare,Utility,Rev,1,,,"Store all negative effects applied to Rev or it's team this turn. If Rev has not swapped out by the start of the next turn, apply them to the opponent instead. Otherwise, apply them to yourself.",Official,Updated,,
FND-RU-009,Dislocated,Rea [Omens],Epic,Defensive,Rev,6,,,Omen. Prevent the next instance of damage taken.,Official,Updated,,
FND-RU-010,Perfect Parry,Rea [Omens],Epic,Defensive,Rev,1,,,"If the opposing Fae plays a card targeting Smol or it's team this turn, that card is played targeting the opposing Fae or their team instead. If this effect triggers, gain 1 mp.",Official,Yes,,
GND-AG-002,Lost Shield Blueprint,Anvi [Scrap/Tokens],Rare,Defensive,Guard,3,,,"If you've discarded 5 or more Scrap this game, gain Defense Up 4.",In progress,,,
,Capsize,Mise [?],,Offensive,Guard,2,,,Shuffle 3 Flotsam into your deck. 85% Attack.,,No,,
,Beckon Call,Secs [?],,Offensive,Guard,,,,"Play a Suspended card, then discard all Suspended cards.",,No,,
,Reminisce,Secs [?],,Utility,Guard,2,,,Mill 2 and Suspend 2 from your graveyard.,,No,,
,Exhaust,Secs [?],,Offensive,Point,2,,,Mill 3. 65% Attack.,,No,,
,Ponder,Secs [?],,Defensive,Point,2,,,All players Mill 2. 15% Defend.,,No,,
,Ruminate,Secs [?],,Utility,Point,1,,,Suspend 3 until the end of next round.,,No,,
,Evasive Maneuver,Anvi [Scrap/Tokens],,Defensive,Forward,3,,,Banish your graveyard. (50% + 8% per card banished) Defend.,Experimental,No,,
,Ignition,Anvi [Scrap/Tokens],,Utility,Forward,2,,,(30% + 15% per card discarded this round) Defend.,Experimental,No,,
,Scrap Shot,Anvi [Scrap/Tokens],,Offensive,Forward,2,,,Banish 4. 150% Attack.,Experimental,No,,
,Conservation,Anvi [Scrap/Tokens],,Utility,Guard,1,,,Return 3 cards from your graveyard to your deck.,Experimental,No,,
,Wheel of Riches and Scarcity,Jacks [Discard/Luck],,Utility,Basic,2,,,Roll a 10-sided die. 1-5: Target player discards random cards equal to half the number rolled rounded down. 6-10: Target player draws cards equal to half the number rolled rounded down.,Needs Work,No,,
,Cooling Off,Anvi [Scrap/Tokens],,Defensive,Guard,2,,,"If you have 20+ cards in your graveyard, 150% Defend.",Experimental,No,,
,Sea's Claim,Mise [Mill],,Offensive,Forward,2,,,Mill 1. 75% Attack. Salvage: Mill 2. 125% Attack.,New Idea,No,,
,Siren's Song,Mise [Mill],,Utility,Forward,1,,,Mill 3 now and next round start. Salvage: Draw 3 now and next round start.,New Idea,No,,
,,Mise [Mill],,Defensive,Forward,2,,,Dredge three times. 35% Defend. Salvage: 135% Defend.,New Idea,No,,
,Burn Up,Anvi [Scrap/Tokens],,Offensive,Point,3,,,Mill 5. 70% Attack.,Experimental,No,,
,Recollect,Secs [?],,Utility,Forward,1,,,Heal for (25% + 2% per card in graveyard) Defense.,,No,,
,Flame Hot!,Anvi [Scrap/Tokens],,Offensive,Guard,0,,,Mill 1. Banish 1. 25% Attack.,Experimental,No,,
,Rest,Secs [?],,Defensive,Guard,3,,,Mill 2 and discard all Suspended cards. Heal all allies for (25% + 2% per card in graveyard) Defense.,,No,,
,Heat Shield,Anvi [Scrap/Tokens],,Defensive,Point,2,,,Mill 2. 70% Defend.,Experimental,No,,
,Sleepyhead,Secs [?],,Offensive,Forward,2,,,(50% + 4% per card in graveyard) Attack.,,No,,
,Wandering Mind,Secs [?],,Defensive,Forward,1,,,Draw 1 Suspended card. It costs 0 this round.,,No,,
,Overheat,Anvi [Scrap/Tokens],,Utility,Point,0,,,Discard 2 now and at the start of next round. Gain 2 MP.,Experimental,No,,
,,,,,,,,,,,,,
,,,,,,,,,,New Idea,No,,
